feature,mean_non_biased,mean_biased,diff_pct,p_value
karma_mean,3.091948544384116,3.633712103853214,17.52175211495998,1.0135309297166766e-46
karma_entropy,2.3803721987045803,2.5402076833266607,6.714726575493711,1.899103368128871e-38
karma_std,6.626398246113875,7.853284460879217,18.515129474520535,1.0422322710696204e-37
karma_q75,2.9190378801351593,3.3454254467858093,14.607126873972156,1.551462359246366e-29
karma_iqr,2.8409434465587764,3.2483328887703387,14.339934950307844,3.950835635700916e-29
karma_median,0.858483016183532,1.0337423312883436,20.415000856271288,8.113032778768259e-16
karma_kurtosis,16.162401424474563,17.222348314196854,6.558102734147066,3.4718916260283088e-06
karma_skew,3.417940647648404,3.5753841004116564,4.606383462848484,3.996159445190735e-06
karma_gini,0.7216650235486076,0.7383899908790496,2.317552712780935,0.0018395581412725913
karma_q25,0.07809443357638271,0.09709255801547079,24.327117272073387,0.009350454156609843
karma_bimodality,0.7829519478803552,0.7984841933819221,1.9838057167641758,0.05406702980370864
karma_extreme_frac,0.04814190345466815,0.048935286033196114,1.648008328700664,0.18778464240183568
karma_strong_neg_frac,4.949693350389466e-05,8.203720674648472e-05,3.254027324259005,0.41338575128203736
karma_neg_frac,7.491069987210774e-05,0.00010472181122948387,2.981111135737614,0.6356778342848928
