feature,coefficient
text_length,0.3073975985236587
avg_comment_karma,0.25277456689371297
total_comment_karma,0.16545454720147854
is_weekend,0.07603270711430149
comments_per_commenter,0.06674597301253359
unique_commenters,0.04465715488175819
pct_positive_karma,0.038496542339279474
score,0.018853381758083237
median_comment_karma,0.007795665387835917
comment_activity_duration_hours,-0.020591767880439198
num_tags,-0.02199979717948828
karma_range,-0.0256880957597639
pct_zero_karma,-0.03801015351529007
pct_negative_karma,-0.03898047456297091
hour_of_day,-0.04739663289206908
karma_iqr,-0.09792208634661241
std_comment_karma,-0.10640863012882264
num_comments,-0.12806617922512636
avg_comment_length,-0.14548234772154095
