year,article_count,bias_rate,avg_bias_prob,avg_score,avg_comments,avg_comment_karma,avg_karma_range,avg_unique_commenters
2005,29,0.034482758620689655,0.5209260885804442,56.6551724137931,7.482758620689655,0.0,0.0,6.206896551724138
2006,557,0.13285457809694792,0.5371911504869792,160.20466786355476,18.30520646319569,0.8396647408409907,4.242369838420108,13.687612208258528
2007,1119,0.23324396782841822,0.6214951236034852,361.54602323503127,31.380697050938338,3.1912632198360824,19.22698838248436,24.602323503127792
2008,1261,0.23949246629659002,0.6159707379766868,423.441712926249,49.129262490087235,2.252409529337507,23.225218080888183,36.49722442505948
2009,1303,0.24405218726016883,0.6150075512299749,502.4973138910207,54.29009976976209,2.9020456424425487,34.244052187260166,40.90560245587107
2010,1158,0.23229706390328153,0.589690301641106,632.4775474956822,59.704663212435236,3.8606980586885533,49.833333333333336,44.818652849740936
2011,1127,0.26619343389529726,0.6238785116610381,665.5971606033718,66.64685004436558,3.704703941050952,54.73824312333629,49.11180124223603
2012,967,0.2688728024819028,0.618358620978418,858.8583247156153,76.00827300930713,4.156690417819173,65.69906928645295,53.06825232678387
2013,838,0.26968973747016706,0.6286988054044591,821.9510739856802,73.36992840095465,4.149836789590607,61.48687350835322,50.5035799522673
2014,815,0.27116564417177913,0.651763958607206,695.8306748466258,73.3644171779141,4.01998846547647,56.83926380368098,48.44049079754601
2015,754,0.25862068965517243,0.6274667128444086,685.6989389920425,92.94960212201592,3.3534524532887926,54.389920424403186,53.59416445623342
2016,636,0.2610062893081761,0.6199182815594986,700.2216981132076,108.81446540880503,3.4011457919663552,60.105345911949684,59.168238993710695
2017,712,0.25842696629213485,0.619750968362741,537.5266853932584,99.06039325842697,2.8099368359284793,44.15308988764045,52.43258426966292
2018,879,0.27986348122866894,0.6446380265646713,462.5585893060296,90.44027303754267,2.542762488812954,38.25028441410694,46.806598407281
2019,789,0.22053231939163498,0.5735814841629415,451.24334600760454,90.4575411913815,2.6400896725197938,40.03041825095057,48.09505703422053
2020,1054,0.2504743833017078,0.6210635978423908,446.5872865275142,99.4876660341556,2.6609436507539828,42.03889943074004,52.86622390891841
2021,997,0.2888665997993982,0.6234117163825825,414.2948846539619,97.93179538615847,4.513686731012263,65.76328986960883,53.26680040120361
