year,bias_label,n_comments,mean_karma,median_karma,std_karma,pct_negative,pct_very_negative,mean_abs_karma
2005,0,99,0.0,0.0,0.0,0.0,0.0,0.0
2005,1,118,0.0,0.0,0.0,0.0,0.0,0.0
2006,0,4342,1.2535697835099033,0.0,3.4757109319977624,0.0,0.0,1.2535697835099033
2006,1,5854,1.553980184489238,0.0,4.160194222081786,0.0,0.0,1.553980184489238
2007,0,11569,3.4965857031722707,1.0,6.2741976225931655,0.0,0.0,3.4965857031722707
2007,1,23546,3.911874628386987,2.0,6.715013142632659,0.0,0.0,3.911874628386987
2008,0,23787,2.4156472022533317,1.0,5.721708218057062,0.0,0.0,2.4156472022533317
2008,1,38165,2.7191929778592954,1.0,6.299839336212583,0.0,0.0,2.7191929778592954
2009,0,25439,3.0613231652187585,1.0,7.888348629471997,7.861944258815205e-05,0.0,3.061637642989111
2009,1,45178,3.546283589357652,1.0,9.22649913870453,6.640400194785072e-05,2.213466731595024e-05,3.546682013369339
2010,0,27204,4.307013674459638,1.0,11.41105786717222,0.0,0.0,4.307013674459638
2010,1,41934,4.44703581819049,1.0,11.862095173963104,0.0,0.0,4.44703581819049
2011,0,27612,3.9295958279009127,1.0,11.846532315888687,0.0,0.0,3.9295958279009127
2011,1,47499,4.245352533737552,1.0,12.336967862867636,0.0,0.0,4.245352533737552
2012,0,27910,4.099928341096382,1.0,12.167283637244632,0.0,0.0,4.099928341096382
2012,1,45362,4.560733653718972,1.0,13.691531341793443,0.0,0.0,4.560733653718972
2013,0,23368,4.18289969188634,1.0,11.834217817215299,0.0,0.0,4.18289969188634
2013,1,38116,4.499842585790744,1.0,13.198492512923316,0.0,0.0,4.499842585790744
2014,0,19412,3.9705852050278176,1.0,11.118584630178878,0.0,0.0,3.9705852050278176
2014,1,40380,4.6153541357107475,1.0,13.156509847708639,0.0,0.0,4.6153541357107475
2015,0,24725,3.3295449949443885,1.0,10.161233787696165,8.088978766430739e-05,0.0,3.3298685540950457
2015,1,45273,3.781768382921388,1.0,11.504963613221538,6.62646610562587e-05,0.0,3.782033441565613
2016,0,27051,3.3997264426453735,1.0,10.642626064833058,3.6967210084654914e-05,3.6967210084654914e-05,3.40009611474622
2016,1,42155,3.683714861819476,1.0,11.588617242144466,0.0,0.0,3.683714861819476
2017,0,26016,2.7272063345633457,1.0,7.978096415999603,0.0,0.0,2.7272063345633457
2017,1,44515,3.2425249915758734,1.0,9.504819092783547,0.0,0.0,3.2425249915758734
2018,0,28020,2.6259100642398288,0.0,7.663219881155941,0.0,0.0,2.6259100642398288
2018,1,51477,2.963750801328749,1.0,8.829691215257851,0.0,0.0,2.963750801328749
2019,0,30574,2.780630601164388,1.0,7.841356650680853,0.0,0.0,2.780630601164388
2019,1,40761,3.1459483329653346,1.0,9.4051620411333,4.906650965383578e-05,0.0,3.14614459900395
2020,0,42435,2.6590078944267703,0.0,7.728325440946565,0.0,0.0,2.6590078944267703
2020,1,62425,3.0183580296355625,1.0,8.931300080756868,0.0,0.0,3.0183580296355625
2021,0,38796,4.297040932054851,1.0,17.229503229390435,0.0010568099804103516,0.0006959480358799876,4.33843695226312
2021,1,58810,4.570906308450944,1.0,18.55786541217995,0.0008842033667743581,0.0006121407923822479,4.636779459275633
