year,bias_label,n_comments,mean_polarity,pct_negative_sent,pct_positive_sent,mean_anger,mean_joy
2005,0,4,0.1439590232912451,0.0,0.25,0.0015391326960525475,0.24299445495125838
2005,1,1,0.23121164739131927,0.0,1.0,0.004191927146166563,0.8094295859336853
2006,0,89,-0.3411059983393826,0.4606741573033708,0.07865168539325842,0.23403206424070835,0.07428721983879778
2006,1,91,-0.39098225327484964,0.5714285714285714,0.0989010989010989,0.22246487780728705,0.03306514771295722
2007,0,235,-0.36984829377640593,0.5404255319148936,0.10638297872340426,0.25853121844727167,0.06910590508425153
2007,1,314,-0.4702814617642842,0.6305732484076433,0.08280254777070063,0.29322629365841096,0.047849031878934856
2008,0,496,-0.41233327090031385,0.5786290322580645,0.10483870967741936,0.2570975713808307,0.07502136387985604
2008,1,533,-0.44216097986166614,0.5984990619136961,0.08818011257035648,0.26809038538145036,0.0500348607163595
2009,0,605,-0.4149953688031124,0.5652892561983471,0.11074380165289256,0.2748633434922167,0.06649659036303686
2009,1,627,-0.47824993478862105,0.6220095693779905,0.07496012759170653,0.28438703071578436,0.053001971318480445
2010,0,683,-0.447670452342925,0.5768667642752562,0.07759882869692533,0.2582370677606793,0.04649224028716632
2010,1,643,-0.4618825600636416,0.6049766718506998,0.07931570762052877,0.27283656327454026,0.053824694681589305
2011,0,675,-0.4410874758593531,0.5644444444444444,0.08444444444444445,0.27346674068623944,0.06267171764996386
2011,1,702,-0.4535610814647818,0.5968660968660968,0.08262108262108261,0.29688395316036953,0.0638435918056211
2012,0,637,-0.4800759642702941,0.6153846153846154,0.06436420722135008,0.2878843180331664,0.05160636975610149
2012,1,669,-0.4450976538429418,0.5904334828101644,0.08221225710014948,0.2780528217031833,0.05135601475483861
2013,0,555,-0.44919003226169224,0.6036036036036037,0.08108108108108109,0.27930238566025495,0.05486344108908638
2013,1,546,-0.489102172765509,0.6172161172161172,0.06593406593406594,0.323344922140504,0.05289927109998767
2014,0,483,-0.4742915071595237,0.598343685300207,0.07039337474120083,0.2608385412624131,0.03528987335662529
2014,1,586,-0.43550548178688925,0.5819112627986348,0.07849829351535836,0.26305027395422664,0.047762464835881036
2015,0,592,-0.3832200226986331,0.5168918918918919,0.08277027027027027,0.19270746897522306,0.04507086381523255
2015,1,714,-0.45654381925262333,0.6078431372549019,0.07703081232492998,0.2781707325541874,0.05066693582350625
2016,0,666,-0.39722789815863363,0.5465465465465466,0.1066066066066066,0.24170061397270873,0.04725743914858575
2016,1,597,-0.4046220960391146,0.5628140703517588,0.09715242881072027,0.2279841969828026,0.054455424284626235
2017,0,690,-0.4410782547409484,0.5768115942028985,0.06811594202898551,0.23234714117205696,0.04693452699974169
2017,1,748,-0.46297372940287773,0.6096256684491979,0.06283422459893048,0.26988333592429925,0.03688197775514262
2018,0,679,-0.4114392723521939,0.5684830633284241,0.07363770250368189,0.24654246716449688,0.040017990651060396
2018,1,751,-0.4510961030355683,0.5952063914780293,0.07323568575233022,0.2576447263422494,0.04387524532679001
2019,0,742,-0.37804814708507634,0.5080862533692723,0.08355795148247978,0.22288730063120224,0.04444378908284133
2019,1,621,-0.48832835525539725,0.6247987117552335,0.06924315619967794,0.2877271944219848,0.04286791008710411
2020,0,1110,-0.4145512769046986,0.5675675675675675,0.08108108108108109,0.24903445372490113,0.042108162142153356
2020,1,990,-0.4469397926199805,0.5828282828282828,0.08181818181818182,0.24621487665954375,0.039488049646274476
2021,0,1068,-0.40099658710251596,0.5440074906367042,0.09269662921348315,0.2200190214760723,0.043477233486140056
2021,1,877,-0.41521526419237986,0.5689851767388826,0.09578107183580388,0.2567322351171829,0.05248124671145462
